ir1_ch4,ir3_co,uv0_o3,uv1_no2,uv3_bro,uv4_h2co,uv5_so2,uv6_oclo,uv7_so2,uv8_h2o,uv9_chocho,lat,lon
4.48E+19,3.80E+18,7.38E+18,5.11107E+15,5.30289E+13,0,3.3636E+15,0,3.46321E+15,9.00E+21,0,-84.19354839,168.5714286
4.52E+19,4.93E+18,7.36E+18,5.0766E+15,5.40408E+13,0,3.93783E+15,0,4.08166E+15,9.73E+21,0,-84.19354839,174.2857143
4.59E+19,3.79E+18,7.40E+18,5.08132E+15,5.57465E+13,0,3.80635E+15,0,3.95938E+15,1.02E+22,0,-84.19354839,180
4.61E+19,2.14E+18,7.34E+18,4.94862E+15,4.58797E+13,2.93185E+15,1.07E+16,1.48121E+13,5.59807E+15,1.36E+22,0,-78.38709677,-180
4.73E+19,1.82E+18,7.29E+18,4.93199E+15,4.50948E+13,2.76498E+15,8.73875E+15,1.99759E+12,5.78998E+15,1.38E+22,0,-78.38709677,-174.2857143
5.33E+19,1.69E+18,7.20E+18,4.92771E+15,4.43325E+13,2.7428E+15,1.42E+16,1.65835E+13,5.86959E+15,1.45E+22,0,-78.38709677,-168.5714286
5.85E+19,2.83E+18,7.07E+18,4.91971E+15,4.33028E+13,0,1.24E+16,4.23016E+11,5.88928E+15,1.48E+22,0,-78.38709677,-162.8571429
4.90E+19,2.09E+18,7.01E+18,5.00109E+15,4.42804E+13,0,1.38E+16,2.5751E+12,6.93038E+15,1.61E+22,0,-78.38709677,-157.1428571
4.75E+19,1.72E+18,6.93E+18,5.13661E+15,4.46912E+13,2.84805E+15,1.27E+16,2.22982E+11,7.49965E+15,1.51E+22,3.75549E+14,-78.38709677,-151.4285714
4.81E+19,3.54E+18,6.94E+18,5.23357E+15,4.42912E+13,1.92018E+15,1.08E+16,25116321280,9.43852E+15,1.36E+22,1.61485E+14,-78.38709677,-145.7142857
4.54E+19,3.01E+18,6.98E+18,5.29936E+15,4.44891E+13,1.52803E+15,1.01E+16,5.18582E+12,9.70445E+15,1.11E+22,0,-78.38709677,-140
4.26E+19,2.74E+18,7.00E+18,5.34156E+15,4.34109E+13,0,7.8363E+15,9.91103E+12,8.55033E+15,9.46E+21,0,-78.38709677,-134.2857143
4.06E+19,3.27E+18,7.04E+18,5.37719E+15,4.22001E+13,2.52531E+15,7.36944E+15,4.82116E+12,8.38211E+15,8.55E+21,0,-78.38709677,-128.5714286
3.92E+19,2.77E+18,7.11E+18,5.39462E+15,4.18442E+13,1.5539E+15,6.14042E+15,6.95607E+12,7.04937E+15,8.74E+21,0,-78.38709677,-122.8571429
3.88E+19,4.14E+18,7.17E+18,5.43496E+15,4.24909E+13,1.14431E+15,6.5578E+15,8.37062E+12,7.50379E+15,9.96E+21,0,-78.38709677,-117.1428571
4.03E+19,2.74E+18,7.19E+18,5.40563E+15,4.20714E+13,8.56697E+14,6.14567E+15,7.3973E+12,7.00206E+15,1.09E+22,0,-78.38709677,-111.4285714
3.98E+19,2.31E+18,7.24E+18,5.34526E+15,4.24122E+13,0,6.85031E+15,7.32312E+12,7.75679E+15,1.13E+22,0,-78.38709677,-105.7142857
3.95E+19,1.87E+18,7.27E+18,5.29763E+15,4.22421E+13,1.91408E+15,5.59726E+15,8.8822E+12,6.08292E+15,1.09E+22,0,-78.38709677,-100
3.90E+19,1.98E+18,7.28E+18,5.24555E+15,4.2527E+13,1.89839E+14,5.11961E+15,6.12544E+12,5.74876E+15,1.06E+22,0,-78.38709677,-94.28571429
3.95E+19,2.31E+18,7.33E+18,5.19016E+15,4.34865E+13,0,3.40151E+15,1.03693E+13,3.90169E+15,1.06E+22,0,-78.38709677,-88.57142857
4.30E+19,2.08E+18,7.39E+18,5.14318E+15,4.59606E+13,1.37737E+15,3.56425E+15,1.00126E+13,3.92876E+15,1.34E+22,0,-78.38709677,-82.85714286
4.45E+19,1.75E+18,7.39E+18,5.11468E+15,4.74476E+13,1.18088E+15,4.13061E+15,1.04354E+13,4.71155E+15,1.49E+22,0,-78.38709677,-77.14285714
4.38E+19,1.71E+18,7.40E+18,5.07156E+15,4.82142E+13,1.5642E+15,4.43348E+15,9.76592E+12,5.04803E+15,1.56E+22,0,-78.38709677,-71.42857143
4.35E+19,1.54E+18,7.37E+18,5.05655E+15,4.83936E+13,1.12984E+15,5.00865E+15,9.68059E+12,5.70516E+15,1.66E+22,0,-78.38709677,-65.71428571
4.29E+19,1.53E+18,7.34E+18,5.04728E+15,4.84334E+13,1.04903E+15,5.09419E+15,9.88878E+12,5.58753E+15,1.78E+22,0,-78.38709677,-60
4.29E+19,1.33E+18,7.28E+18,5.05576E+15,4.74677E+13,0,6.33656E+15,9.58232E+12,6.11779E+15,1.97E+22,0,-78.38709677,-54.28571429
4.30E+19,1.50E+18,7.25E+18,5.09283E+15,4.62111E+13,0,8.76175E+15,8.35788E+12,6.5189E+15,1.90E+22,0,-78.38709677,-48.57142857
4.29E+19,1.66E+18,7.25E+18,5.10236E+15,4.62201E+13,2.8342E+15,7.39007E+15,6.42521E+12,5.32962E+15,1.86E+22,0,-78.38709677,-42.85714286
4.45E+19,2.17E+18,7.29E+18,5.13926E+15,4.65118E+13,0,8.95711E+15,4.54172E+13,5.01841E+15,1.78E+22,0,-78.38709677,-37.14285714
4.62E+19,2.38E+18,7.30E+18,5.17692E+15,4.58873E+13,2.67195E+14,1.05E+16,7.89405E+12,5.49884E+15,1.57E+22,0,-78.38709677,-31.42857143
5.18E+19,2.13E+18,7.34E+18,5.22472E+15,4.54605E+13,2.05059E+15,6.87583E+15,7.61564E+12,4.5793E+15,1.26E+22,0,-78.38709677,-25.71428571
4.14E+19,1.76E+18,7.36E+18,5.25444E+15,4.42194E+13,1.79214E+15,4.08492E+15,9.77069E+12,3.88887E+15,1.11E+22,0,-78.38709677,-20
3.96E+19,1.59E+18,7.38E+18,5.29978E+15,4.34275E+13,1.38574E+15,3.58242E+15,1.50207E+13,4.10134E+15,9.07E+21,0,-78.38709677,-14.28571429
3.59E+19,1.48E+18,7.41E+18,5.31815E+15,4.30487E+13,6.99636E+14,2.52873E+15,1.08224E+13,2.91711E+15,7.08E+21,0,-78.38709677,-8.571428571
